N,P,K,temperature,humidity,ph,rainfall,Total_Nutrients,Temperature_Humidity,Log_Rainfall,Label,Label_Encoded
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,175,1712.196283,5.317803945,wheat,0
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,184,1748.595734,5.427833686,wheat,0
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,159,1893.744627,5.579594902,wheat,0
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,149,2123.482908,5.496610833,wheat,0
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,162,1642.720357,5.57487785,wheat,0
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,148,1922.352236,5.529647317,wheat,0
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,162,1876.645062,5.606995693,wheat,0
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,187,1680.905027,5.492955244,wheat,0
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,181,2047.939394,5.444347604,wheat,0
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,164,1928.361491,5.403619262,wheat,0
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,184,2159.782186,5.582047401,wheat,0
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,178,1953.102868,5.525784492,wheat,0
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,180,2167.831921,5.654019436,wheat,0
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,185,1970.593825,5.227236633,wheat,0
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,181,2070.306451,5.349898731,wheat,0
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,147,1949.858373,5.447109435,wheat,0
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,164,1787.16231,5.626380221,wheat,0
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,165,1913.463697,5.333979764,wheat,0
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,151,1753.424898,5.418564107,wheat,0
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,163,1970.948561,5.677776094,wheat,0
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,170,1716.127688,5.22841769,wheat,0
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,159,2091.015603,5.448392537,wheat,0
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,167,1777.186947,5.367638614,wheat,0
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,167,1740.589849,5.45578076,wheat,0
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,182,1910.000796,5.416358664,wheat,0
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,160,2019.187744,5.552974649,wheat,0
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,199,2215.339568,5.607119631,wheat,0
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,188,1975.706224,5.565529104,wheat,0
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,153,1755.504973,5.485133245,wheat,0
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,170,1798.491828,5.293199902,wheat,0
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,171,1821.749703,5.610210425,wheat,0
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,167,1781.692903,5.303744009,wheat,0
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,161,2029.356145,5.419099115,wheat,0
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,189,1654.582853,5.603747484,wheat,0
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,186,2158.756326,5.455885645,wheat,0
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,192,2201.185869,5.269647273,wheat,0
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,191,2172.106064,5.610569748,wheat,0
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,170,1984.293633,5.656863335,wheat,0
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,147,1743.609731,5.701786641,wheat,0
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,148,2023.974281,5.553092737,wheat,0
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,140,1869.600438,5.520333574,wheat,0
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,152,2140.816867,5.351385025,wheat,0
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,179,2051.477893,5.307450027,wheat,0
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,162,2021.165364,5.702315124,wheat,0
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,182,2167.368318,5.585507795,wheat,0
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,164,2004.875091,5.218620919,wheat,0
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,167,2108.508508,5.288044788,wheat,0
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,151,1966.014521,5.455514881,wheat,0
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,161,1748.677151,5.355709516,wheat,0
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,188,1981.025851,5.540165994,wheat,0
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,139,1946.269687,5.397731997,wheat,0
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,175,1610.604053,5.345110373,wheat,0
